[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/waypoints/waypoints-for-editor.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/ajax-loader.gif
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/announcement.png
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/app/onboarding/Blank_Canvas.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/app/onboarding/Blank_Preview.jpg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/app/onboarding/Illustration_Account.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/app/onboarding/Illustration_Hello.svg
[2023-06-13 07:16:39] [class-elementor-integration.php:143] Adding elementor bundle asset to queue: http://localhost:8080/branix/wp-content/plugins/elementor/assets/images/app/onboarding/Illustration_Setup.svg
